id_stasiun,nama,kota,provinsi,p3e,waktu,time_z,lat,lon,tipe_text,is_maintenance,t_pm25,a_pm25,c_pm25,t_pm10,a_pm10,t_so2,t_co,t_o3,t_no2,waktu_utc,pm25_ugm3,sumber_label,i,j,cell_id,diambil_utc
KABUPATEN_BENGKAYANG,Kabupaten Bengkayang Sebalo,Kabupaten Bengkayang,Kalimantan Barat,Kalimantan,2026-08-03 00:00:00,WIB,0.8644959926605225,109.4990005493164,KLH/BPLH,0,47.0,14.07,1.0,63.0,34.53,2.0,5.0,36.0,44.0,2026-08-02 17:00:00,14.07,ISPU-langsung,347,284,34700284,2026-08-02 17:05:51
KABUPATEN_BOGOR,Kabupaten Bogor Tegar Beriman,Kabupaten Bogor,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.481369972229004,106.8290023803711,KLH/BPLH,0,0.0,0.0,1.0,0.0,0.0,3.0,32.0,33.0,,2026-08-02 17:00:00,0.0,ISPU-konversi,283,108,28300108,2026-08-02 17:05:51
KABUPATEN_BOGORLL,Kabupaten Bogor Leuwiliang,Bogor,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.576610088348389,106.63700103759766,KLH/BPLH,0,73.0,33.32,2.0,86.0,60.05,24.0,34.0,125.0,18.0,2026-08-02 17:00:00,33.32,ISPU-langsung,278,106,27800106,2026-08-02 17:05:51
KABUPATEN_BOJONEGORO,Kabupaten Bojonegoro,Kabupaten Bojonegoro,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-7.15556001663208,111.88200378417967,KLH/BPLH,0,57.0,20.63,2.0,56.0,27.14,41.0,5.0,36.0,0.0,2026-08-02 17:00:00,20.63,ISPU-langsung,404,92,40400092,2026-08-02 17:05:51
KABUPATEN_CILACAP,Kabupaten Cilacap Sidakaya,Cilacap,Jawa Tengah,Jawa,2026-08-03 00:00:00,WIB,-7.722179889678955,109.01699829101562,KLH/BPLH,0,4.0,1.21,1.0,3.0,1.21,31.0,12.0,31.0,91.0,2026-08-02 17:00:00,1.21,ISPU-langsung,335,78,33500078,2026-08-02 17:05:51
KABUPATEN_GUNUNG_MAS,Kabupaten Gunung Mas,Kabupaten Gunung Mas,Kalimantan Tengah,Kalimantan,2026-08-03 00:00:00,WIB,-1.1160999536514282,113.84100341796876,KLH/BPLH,0,56.0,20.01,2.0,61.0,32.52,5.0,2.0,4.0,36.0,2026-08-02 17:00:00,20.01,ISPU-langsung,451,237,45100237,2026-08-02 17:05:51
KABUPATEN_HSS,Kabupaten Hulu Sungai Selatan,Kabupaten Hulu Sungai Selatan,Kalimantan Selatan,Kalimantan,2026-08-03 01:00:00,WITA,-2.783679962158203,115.26300048828124,KLH/BPLH,0,76.0,35.41,2.0,64.0,35.77,10.0,2.0,4.0,33.0,2026-08-02 17:00:00,35.41,ISPU-langsung,485,197,48500197,2026-08-02 17:05:51
KABUPATEN_INDRAGIRIHILIR,Kabupaten Indragiri Hilir,Kabupaten Indragiri Hilir,Riau,Sumatera,2026-08-03 00:00:00,WIB,-0.3120580017566681,103.16100311279295,KLH/BPLH,0,4.0,1.23,1.0,47.0,19.73,65.0,,46.0,130.0,2026-08-02 17:00:00,1.23,ISPU-langsung,195,256,19500256,2026-08-02 17:05:51
KABUPATEN_INDRAMAYU,Kabupaten Indramayu Margadadi,Indramayu,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.327040195465088,108.3219985961914,KLH/BPLH,0,61.0,23.45,2.0,58.0,30.02,18.0,81.0,29.0,27.0,2026-08-02 17:00:00,23.45,ISPU-langsung,319,112,31900112,2026-08-02 17:05:51
KABUPATEN_JEPARA,Kabupaten Jepara Panggang,Kabupaten Jepara,Jawa Tengah,Jawa,2026-08-03 00:00:00,WIB,-6.592090129852295,110.66799926757812,KLH/BPLH,0,35.0,10.55,1.0,32.0,13.58,48.0,7.0,57.0,37.0,2026-08-02 17:00:00,10.55,ISPU-langsung,375,105,37500105,2026-08-02 17:05:51
KABUPATEN_JOMBANG,Kabupaten Jombang Kepanjen,Kabupaten Jombang,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-7.55286979675293,112.23699951171876,KLH/BPLH,0,41.0,12.33,1.0,38.0,15.86,8.0,16.0,43.0,90.0,2026-08-02 17:00:00,12.33,ISPU-langsung,413,82,41300082,2026-08-02 17:05:51
KABUPATEN_KAMPAR,Kabupaten Kampar Bangkinang,Kabupaten Kampar,Riau,Sumatera,2026-08-03 00:00:00,WIB,0.3249180018901825,101.0250015258789,KLH/BPLH,0,81.0,40.08,2.0,74.0,46.87,6.0,14.0,4.0,104.0,2026-08-02 17:00:00,40.08,ISPU-langsung,144,271,14400271,2026-08-02 17:05:51
KABUPATEN_KOBAR,Kabupaten Kotawaringin Barat Madurejo,Kabupaten Kotawaringin Barat,Kalimantan Tengah,Kalimantan,2026-08-03 00:00:00,WIB,-2.706120014190674,111.61399841308594,KLH/BPLH,0,13.0,4.0,1.0,9.0,3.95,16.0,7.0,7.0,61.0,2026-08-02 17:00:00,4.0,ISPU-langsung,398,199,39800199,2026-08-02 17:05:51
KABUPATEN_LAHAT,Kabupaten Lahat,Kabupaten Lahat,Sumatera Selatan,Sumatera,2026-08-03 00:00:00,WIB,-3.7856600284576416,103.55500030517578,KLH/BPLH,0,92.0,48.42,2.0,124.0,98.7,44.0,37.0,3.0,91.0,2026-08-02 17:00:00,48.42,ISPU-langsung,204,173,20400173,2026-08-02 17:05:51
KABUPATEN_LAMPUNG_SELATAN,Kabupaten Lampung Selatan Way Urang,Kabupaten Lampung Selatan,Lampung,Sumatera,2026-08-03 00:00:00,WIB,-5.716100215911865,105.58200073242188,KLH/BPLH,0,51.0,15.64,1.0,47.0,19.66,2.0,6.0,2.0,19.0,2026-08-02 17:00:00,15.64,ISPU-langsung,253,126,25300126,2026-08-02 17:05:51
KABUPATEN_LUMAJANG,Kabupaten Lumajang Ditrotunan,Kabupaten Lumajang,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-8.135390281677246,113.2239990234375,KLH/BPLH,0,0.0,0.01,1.0,0.0,0.03,9.0,6.0,43.0,20.0,2026-08-02 17:00:00,0.01,ISPU-langsung,436,68,43600068,2026-08-02 17:05:51
KABUPATEN_MADIUN,Kabupaten Madiun Mejayan,Kabupaten Madiun,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-7.5488200187683105,111.66699981689452,KLH/BPLH,0,66.0,28.05,2.0,101.0,76.07,2.0,5.0,24.0,74.0,2026-08-02 17:00:00,28.05,ISPU-langsung,399,82,39900082,2026-08-02 17:05:51
KABUPATEN_MOJOKERTO,Kabupaten Mojokerto Mojosari,Mojokerto,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-7.508540153503418,112.56099700927734,KLH/BPLH,0,37.0,10.99,1.0,29.0,12.06,50.0,2.0,5.0,40.0,2026-08-02 17:00:00,10.99,ISPU-langsung,420,83,42000083,2026-08-02 17:05:51
KABUPATEN_MUARA_ENIM,Kabupaten Muara Enim,Kabupaten Muara Enim,Sumatera Selatan,Sumatera,2026-08-03 00:00:00,WIB,-3.648560047149658,103.7750015258789,KLH/BPLH,0,59.0,22.59,2.0,65.0,36.86,2.0,111.0,4.0,7.0,2026-08-02 17:00:00,22.59,ISPU-langsung,210,176,21000176,2026-08-02 17:05:51
KABUPATEN_MUARO_JAMBI,Kabupaten Muaro Jambi,Kabupaten Muaro Jambi,Jambi,Sumatera,2026-08-03 00:00:00,WIB,-1.452720046043396,103.51799774169922,KLH/BPLH,0,77.0,36.67,2.0,70.0,42.51,38.0,,8.0,7.0,2026-08-02 17:00:00,36.67,ISPU-langsung,203,229,20300229,2026-08-02 17:05:51
KABUPATEN_MURA,Kabupaten Musi Rawas,Kabupaten Musi Rawas,Sumatera Selatan,Sumatera,2026-08-03 00:00:00,WIB,-3.244539976119995,103.00900268554688,KLH/BPLH,0,97.0,52.5,2.0,125.0,99.85,41.0,11.0,36.0,84.0,2026-08-02 17:00:00,52.5,ISPU-langsung,191,186,19100186,2026-08-02 17:05:51
